timme,kurs
13.0,1458.0
14.0,1458.75
15.0,1456.25
16.0,1447.0
17.0,1451.0
10.0,1443.5
11.0,1448.5
12.0,1442.0
13.0,1438.5
14.0,1441.0
15.0,1422.75
16.0,1426.0
17.0,1415.75
10.0,1412.0
11.0,1410.0
12.0,1406.0
13.0,1404.0
14.0,1408.75
15.0,1406.25
16.0,1398.5
17.0,1399.25
10.0,1383.75
11.0,1381.0
12.0,1382.25
13.0,1390.25
14.0,1398.25
15.0,1402.0
16.0,1401.75
17.0,1406.0
10.0,1404.25
11.0,1404.0
12.0,1406.25
13.0,1408.25
14.0,1409.0
15.0,1416.75
16.0,1420.25
17.0,1430.5
10.0,1432.5
11.0,1432.0
12.0,1431.75
13.0,1434.0
14.0,1434.0
15.0,1437.0
16.0,1442.75
17.0,1436.5
10.0,1424.5
11.0,1413.25
12.0,1412.25
13.0,1412.75
14.0,1414.75
15.0,1417.25
16.0,1415.5
17.0,1421.75
10.0,1448.5
11.0,1451.0
12.0,1450.75
13.0,1448.75
14.0,1447.75
15.0,1446.75
16.0,1441.5
17.0,1436.75
10.0,1443.75
11.0,1445.25
12.0,1440.0
13.0,1438.25
14.0,1436.0
15.0,1435.0
16.0,1436.0
17.0,1439.5
10.0,1451.75
11.0,1449.25
12.0,1446.0
13.0,1449.25
14.0,1450.5
15.0,1454.0
16.0,1452.5
17.0,1450.5
10.0,1454.0
11.0,1453.0
12.0,1455.5
13.0,1456.0
14.0,1454.0
15.0,1451.75
16.0,1451.25
17.0,1455.25
10.0,1450.5
11.0,1450.5
12.0,1454.25
13.0,1452.5
14.0,1453.5
15.0,1457.0
16.0,1461.75
17.0,1461.75
10.0,1464.25
11.0,1462.25
12.0,1464.25
13.0,1467.5
14.0,1469.25
15.0,1472.5
16.0,1473.0
17.0,1470.75
10.0,1465.75
11.0,1467.5
12.0,1467.0
13.0,1466.75
14.0,1465.5
15.0,1462.25
16.0,1466.75
17.0,1468.25
10.0,1469.5
11.0,1473.5
12.0,1471.0
13.0,1475.25
14.0,1474.25
15.0,1473.0
16.0,1471.75
17.0,1460.75
10.0,1460.75
11.0,1464.0
12.0,1469.5
13.0,1471.0
14.0,1472.5
15.0,1473.0
16.0,1479.0
17.0,1485.5
10.0,1484.25
11.0,1488.75
12.0,1485.75
13.0,1488.0
14.0,1486.5
15.0,1488.0
16.0,1485.5
17.0,1484.75
10.0,1479.5
11.0,1483.5
12.0,1477.75
13.0,1479.5
14.0,1479.0
15.0,1478.75
16.0,1481.25
17.0,1475.5
10.0,1479.0
11.0,1470.75
12.0,1469.5
13.0,1467.25
14.0,1473.75
15.0,1476.25
16.0,1477.25
17.0,1473.5
10.0,1468.75
11.0,1453.0
12.0,1459.25
13.0,1464.25
14.0,1466.0
15.0,1464.75
16.0,1461.5
17.0,1461.75
10.0,1463.0
11.0,1461.0
12.0,1466.0
13.0,1466.25
14.0,1471.5
15.0,1468.25
16.0,1464.0
17.0,1465.0
10.0,1446.25
11.0,1444.5
12.0,1447.0
13.0,1446.75
14.0,1446.5
15.0,1452.75
16.0,1456.75
17.0,1451.5
10.0,1430.0
11.0,1432.25
12.0,1430.5
13.0,1426.25
14.0,1427.75
15.0,1430.75
16.0,1430.0
17.0,1431.0
10.0,1424.0
11.0,1425.25
12.0,1424.5
13.0,1422.5
14.0,1418.5
15.0,1418.5
16.0,1414.5
17.0,1415.0
10.0,1411.75
11.0,1405.5
12.0,1395.25
13.0,1407.0
14.0,1412.75
15.0,1407.75
16.0,1403.0
17.0,1407.75
10.0,1411.0
11.0,1417.0
12.0,1420.25
13.0,1423.5
14.0,1425.5
15.0,1418.0
16.0,1425.25
17.0,1426.5
10.0,1435.5
11.0,1435.5
12.0,1435.5
13.0,1431.75
14.0,1434.75
15.0,1440.75
16.0,1435.0
17.0,1419.5
10.0,1429.5
11.0,1428.5
12.0,1431.5
13.0,1429.25
14.0,1425.25
15.0,1420.5
16.0,1415.25
17.0,1412.5
10.0,1403.25
11.0,1397.75
12.0,1393.75
13.0,1398.25
14.0,1392.5
15.0,1392.0
16.0,1389.75
17.0,1386.25
10.0,1373.75
11.0,1382.75
12.0,1381.75
13.0,1381.25
14.0,1392.5
15.0,1392.75
16.0,1395.5
17.0,1399.25
10.0,1396.25
11.0,1404.75
12.0,1396.75
13.0,1396.0
14.0,1389.75
15.0,1394.5
16.0,1397.25
17.0,1397.75
10.0,1380.0
11.0,1370.75
12.0,1369.75
13.0,1374.75
14.0,1375.25
15.0,1372.0
16.0,1378.0
17.0,1382.25
10.0,1413.25
11.0,1407.75
12.0,1412.0
13.0,1412.0
14.0,1419.25
15.0,1415.75
16.0,1420.25
17.0,1426.0
10.0,1443.5
11.0,1445.5
12.0,1443.75
13.0,1444.75
14.0,1448.5
15.0,1445.0
16.0,1449.25
17.0,1442.25
10.0,1442.0
11.0,1442.75
12.0,1429.5
13.0,1436.5
14.0,1435.5
15.0,1434.0
16.0,1435.75
17.0,1436.75
10.0,1426.25
11.0,1428.25
12.0,1427.5
13.0,1432.0
14.0,1428.5
15.0,1425.0
16.0,1420.75
17.0,1426.5
10.0,1412.25
11.0,1410.25
12.0,1413.25
13.0,1423.75
14.0,1429.0
15.0,1431.0
16.0,1433.75
17.0,1429.0
10.0,1390.25
11.0,1405.0
12.0,1392.5
13.0,1394.75
14.0,1396.5
15.0,1397.0
16.0,1398.5
17.0,1391.5
10.0,1372.25
11.0,1367.25
12.0,1374.5
13.0,1376.0
14.0,1378.5
15.0,1378.25
16.0,1368.75
17.0,1369.0
10.0,1374.5
11.0,1385.0
12.0,1390.75
13.0,1399.75
14.0,1400.25
15.0,1400.75
16.0,1402.75
17.0,1394.0
10.0,1391.75
11.0,1386.25
12.0,1385.75
13.0,1386.0
14.0,1389.75
15.0,1388.75
16.0,1387.5
17.0,1389.5
10.0,1382.75
11.0,1380.0
12.0,1381.5
13.0,1381.25
14.0,1378.75
15.0,1378.25
16.0,1370.0
17.0,1378.75
10.0,1354.5
11.0,1355.25
12.0,1359.0
13.0,1358.5
14.0,1353.0
15.0,1351.5
16.0,1354.75
17.0,1356.25
10.0,1362.5
11.0,1360.75
12.0,1357.25
13.0,1353.0
14.0,1350.5
15.0,1351.5
16.0,1352.0
17.0,1345.5
10.0,1337.75
11.0,1338.5
12.0,1338.75
13.0,1342.0
14.0,1345.25
15.0,1349.25
16.0,1343.5
17.0,1345.75
10.0,1353.25
11.0,1355.25
12.0,1363.25
13.0,1365.5
14.0,1369.5
15.0,1374.25
16.0,1371.25
17.0,1369.0
10.0,1398.25
11.0,1397.75
12.0,1402.0
13.0,1402.75
14.0,1407.75
15.0,1408.0
16.0,1403.25
17.0,1405.25
10.0,1431.0
11.0,1436.0
12.0,1437.25
13.0,1435.0
14.0,1433.0
15.0,1428.25
16.0,1431.0
17.0,1434.5
10.0,1434.0
11.0,1433.75
12.0,1430.5
13.0,1432.25
14.0,1433.25
15.0,1433.5
16.0,1434.75
17.0,1435.0
10.0,1431.25
11.0,1429.5
12.0,1429.75
13.0,1429.25
14.0,1427.75
15.0,1426.25
16.0,1425.75
17.0,1425.75
10.0,1443.25
11.0,1447.25
12.0,1458.25
13.0,1460.0
14.0,1459.5
15.0,1453.5
16.0,1455.25
17.0,1457.0
10.0,1462.0
11.0,1458.0
12.0,1457.25
13.0,1464.0
14.0,1466.0
15.0,1464.5
16.0,1463.75
17.0,1459.0
10.0,1469.0
11.0,1477.0
12.0,1477.75
13.0,1477.25
14.0,1476.75
15.0,1477.5
16.0,1475.5
17.0,1473.25
10.0,1474.0
11.0,1474.75
12.0,1474.75
13.0,1474.5
14.0,1474.25
15.0,1472.5
16.0,1469.0
17.0,1463.5
10.0,1453.0
11.0,1453.0
12.0,1451.75
13.0,1452.5
14.0,1449.75
15.0,1448.25
16.0,1450.5
17.0,1449.0
10.0,1454.0
11.0,1447.25
12.0,1446.5
13.0,1446.75
14.0,1445.75
15.0,1444.75
16.0,1441.25
17.0,1444.5
10.0,1440.75
11.0,1448.0
12.0,1446.75
13.0,1445.25
14.0,1445.5
15.0,1441.75
16.0,1444.5
17.0,1434.5
10.0,1416.5
11.0,1425.0
12.0,1419.0
13.0,1417.75
14.0,1414.75
15.0,1414.5
16.0,1411.25
17.0,1405.75
10.0,1406.75
11.0,1410.25
12.0,1416.25
13.0,1415.0
14.0,1416.0
15.0,1414.25
16.0,1410.5
17.0,1411.0
10.0,1419.25
11.0,1415.75
12.0,1412.5
13.0,1410.0
14.0,1410.0
15.0,1408.5
16.0,1413.75
17.0,1416.5
10.0,1423.25
11.0,1425.75
12.0,1430.5
13.0,1430.0
14.0,1428.25
15.0,1427.5
16.0,1417.0
17.0,1423.25
10.0,1429.75
11.0,1430.75
12.0,1425.75
13.0,1427.25
14.0,1427.25
