1420.25,1419,1419,1.74,-0.09,0,SELL
1417.25,1413.25,1410,-0.12,-0.28,-0.23,SELL
1421.5,1415.75,1415.75,0.81,-0.4,0,SELL
1410.5,1409.5,1410.25,-0.37,-0.07,0.05,BUY
1397,1389.5,1379.5,-0.95,-0.54,-0.72,SELL
1368.75,1371.25,1360.25,-0.79,0.18,-0.8,SELL
1337,1350.5,1322.75,-1.74,1.01,-2.08,SELL
1277.25,1287.5,1272.5,-3.56,0.8,-1.17,SELL
1272,1291,1300,-0.04,1.49,0.71,BUY
1282.5,1284.25,1283.25,-1.36,0.14,-0.08,SELL
1321.25,1321.25,1327,2.88,0,0.44,BUY
1330.25,1324.75,1332.25,0.24,-0.41,0.56,BUY
1321.5,1323.25,1319.75,-0.81,0.13,-0.26,SELL
1307.25,1296.75,1295.5,-0.96,-0.8,-0.1,SELL
1304.75,1292,1294.75,0.71,-0.98,0.21,BUY
1311.25,1312.25,1325.5,1.26,0.08,1.01,BUY
1306,1297.5,1285,-1.49,-0.65,-0.96,SELL
1301,1294.5,1296,1.23,-0.5,0.12,BUY
1304.25,1318.75,1313.25,0.63,1.11,-0.42,SELL
1344,1343,1329.25,2.29,-0.07,-1.02,SELL
1317,1325.5,1319.5,-0.93,0.65,-0.46,SELL
1323,1313.75,1312.75,0.26,-0.7,-0.08,SELL
1312.75,1300.75,1296,0,-0.91,-0.36,SELL
1291.25,1277.5,1292.75,-0.37,-1.06,1.18,BUY
1303.5,1305.75,1306,0.82,0.17,0.02,BUY
1311.5,1308,1310.25,0.42,-0.27,0.17,BUY
1300.75,1281,1279,-0.73,-1.52,-0.15,SELL
1270,1279.5,1285.75,-0.71,0.75,0.49,BUY
1286.25,1259.5,1251.25,0.04,-2.08,-0.64,SELL
1249.75,1251.25,1245.75,-0.12,0.12,-0.44,SELL
1246.25,1232.25,1210.25,0.04,-1.12,-1.77,SELL
1227.5,1244.75,1241.5,1.41,1.41,-0.26,SELL
1237.5,1228.75,1213,-0.32,-0.71,-1.27,SELL
1200.25,1219,1216.75,-1.06,1.56,-0.19,SELL
1237.25,1241.5,1240.25,1.66,0.34,-0.1,SELL
1258,1254,1227.75,1.41,-0.32,-2.09,SELL
1244.25,1253.25,1235.75,1.33,0.72,-1.41,SELL
1260,1268.75,1278.25,1.92,0.69,0.75,BUY
1277.25,1275.5,1281.5,-0.08,-0.14,0.47,BUY
1283,1287.5,1276.25,0.12,0.35,-0.88,SELL
1274.75,1278.25,1289.25,-0.12,0.27,0.86,BUY
1304.25,1304.75,1307.75,1.15,0.04,0.23,BUY
1312,1314.25,1305.5,0.32,0.17,-0.67,SELL
1306.5,1284.75,1286.75,0.08,-1.66,0.15,BUY
1276.75,1273.25,1265.75,-0.78,-0.27,-0.59,SELL
1276.75,1268.75,1276.75,0.86,-0.63,0.63,BUY
1288.75,1292.5,1278,0.93,0.29,-1.13,SELL
1279.75,1287.5,1282.75,0.14,0.61,-0.37,SELL
1291,1280,1291.5,0.64,-0.85,0.89,BUY
1284.5,1279.5,1278,-0.54,-0.39,-0.12,SELL
1270.5,1268,1308.25,-0.59,-0.2,3.17,BUY
1315.25,1323.25,1329,0.53,0.61,0.44,BUY
1331.5,1334.25,1330.5,0.19,0.21,-0.28,SELL
1327,1318.5,1313.25,-0.26,-0.64,-0.4,SELL
1318.75,1315.75,1325.75,0.42,-0.23,0.76,BUY
1331,1318,1320.25,0.39,-0.98,0.17,BUY
1307.25,1331.25,1327,-0.99,1.84,-0.33,SELL
1331.5,1329.5,1331.75,0.34,-0.15,0.17,BUY
1341.25,1350.5,1355.5,0.71,0.69,0.37,BUY
1356.25,1354.5,1349.75,0.06,-0.13,-0.35,SELL
1350,1346,1352.75,0.02,-0.3,0.5,BUY
1358.75,1358.25,1338,0.44,-0.04,-1.49,SELL
1343.25,1316.25,1324.75,0.39,-2.01,0.63,BUY
1329.25,1334,1339.25,0.34,0.36,0.39,BUY
1334.75,1331.5,1313.75,-0.34,-0.24,-1.33,SELL
1309.25,1302.75,1300.75,-0.34,-0.5,-0.15,SELL
1284.25,1307.5,1303.75,-1.28,1.81,-0.29,SELL
1320.25,1333,1341,1.25,0.97,0.61,BUY
1333.5,1333.5,1340.25,-0.56,0,0.51,BUY
1350.75,1355.5,1339,0.78,0.35,-1.22,SELL
1344.5,1340.25,1346.25,0.41,-0.32,0.45,BUY
1336.25,1324.5,1316.75,-0.75,-0.88,-0.58,SELL
1324.5,1328.5,1333,0.59,0.3,0.34,BUY
1331.5,1342.25,1350.75,-0.11,0.81,0.64,BUY
1342.5,1352.75,1351,-0.61,0.76,-0.13,SELL
1344.75,1361.25,1366.5,-0.46,1.23,0.39,BUY
1367.75,1369,1358.75,0.09,0.09,-0.75,SELL
1359.5,1360.5,1364,0.06,0.07,0.26,BUY
1356,1369.5,1331.75,-0.59,1,-2.78,SELL
1323.5,1315,1314,-0.62,-0.64,-0.08,SELL
1323,1330,1322,0.68,0.53,-0.6,SELL
1315.25,1300.75,1283.25,-0.51,-1.1,-1.33,SELL
1287.75,1266,1271,0.35,-1.69,0.39,BUY
1262.5,1269.25,1261.75,-0.67,0.53,-0.59,SELL
1254.25,1240.5,1229,-0.6,-1.1,-0.92,SELL
1240.75,1240.75,1216,0.95,0,-1.99,SELL
1220.75,1240.5,1253.25,0.39,1.62,1.04,BUY
1255.25,1263.25,1254.25,0.16,0.64,-0.72,SELL
1287,1283,1262.75,2.54,-0.31,-1.57,SELL
1251.25,1255.25,1250.5,-0.92,0.32,-0.38,SELL
1255.75,1265.25,1246.25,0.42,0.76,-1.51,SELL
1253.5,1245.75,1240.75,0.58,-0.62,-0.4,SELL
1257.25,1262.75,1270.75,1.31,0.44,0.64,BUY
1273,1269.5,1260.75,0.18,-0.27,-0.69,SELL
1271.25,1271.75,1279,0.83,0.04,0.57,BUY
1280.5,1276.5,1275.25,0.12,-0.31,-0.1,SELL
1242.75,1232,1217.5,-2.62,-0.87,-1.17,SELL
1160.25,1172.25,1180.5,-4.93,1.03,0.71,BUY
1188.25,1196,1176,0.65,0.65,-1.68,SELL
1169.75,1173,1176,-0.53,0.28,0.26,BUY
1173.5,1192.5,1175.25,-0.21,1.62,-1.47,SELL
1191,1199.25,1187.25,1.32,0.69,-1.01,SELL
1171.5,1157.25,1164.25,-1.34,-1.22,0.6,BUY
1167,1148.5,1132.5,0.24,-1.59,-1.37,SELL
1140.75,1143.25,1131.75,0.72,0.22,-1.01,SELL
1155,1164.5,1157.25,2.01,0.82,-0.63,SELL
1128.5,1124,1119.25,-2.55,-0.4,-0.42,SELL
1120.75,1126,1140.5,0.13,0.47,1.29,BUY
1167,1178,1186.5,2.27,0.94,0.73,BUY
1184.5,1184,1178.5,-0.17,-0.04,-0.46,SELL
1160,1177.5,1199.25,-1.59,1.51,1.88,BUY
1193.5,1183.25,1191.75,-0.48,-0.86,0.71,BUY
1182,1177.25,1159.75,-0.82,-0.4,-1.48,SELL
1184.25,1166.75,1181.75,2.07,-1.48,1.27,BUY
1191.75,1176.5,1167.25,0.84,-1.28,-0.78,SELL
1165.5,1151.5,1147.5,-0.15,-1.2,-0.34,SELL
1145.5,1142.25,1131.75,-0.17,-0.28,-0.92,SELL
1154.5,1152.5,1162,1.97,-0.17,0.82,BUY
1158,1167.5,1154.5,-0.35,0.82,-1.12,SELL
1162.5,1127.25,1097.5,0.69,-3.03,-2.56,SELL
1101.75,1106.75,1100,0.39,0.45,-0.61,SELL
1109.5,1126.25,1125.25,0.86,1.51,-0.09,SELL
1106.5,1090,1074.75,-1.69,-1.49,-1.38,SELL
1090.75,1095.25,1106.25,1.47,0.41,1.01,BUY
1142.5,1153.75,1161.5,3.17,0.98,0.68,BUY
1169.5,1156.25,1151.5,0.68,-1.13,-0.41,SELL
1166.25,1181.75,1197.75,1.26,1.33,1.37,BUY
1206,1199.75,1190,0.68,-0.52,-0.81,SELL
1185.25,1184,1180.5,-0.4,-0.11,-0.3,SELL
1195.25,1207.5,1209.75,1.23,1.02,0.19,BUY
1199.25,1203.75,1194,-0.88,0.38,-0.81,SELL
1192.5,1167.75,1153,-0.13,-2.08,-1.24,SELL
1169,1172.5,1186.25,1.37,0.3,1.18,BUY
1199.75,1202,1195.75,1.13,0.19,-0.52,SELL
1177.5,1179,1203.25,-1.55,0.13,2.06,BUY
1184.75,1200.75,1218.5,-1.56,1.35,1.5,BUY
1224.25,1214.75,1210,0.47,-0.78,-0.39,SELL
1218,1220,1218.25,0.66,0.16,-0.14,SELL
1224.5,1224,1233.75,0.51,-0.04,0.8,BUY
1225.5,1217.75,1225.5,-0.67,-0.63,0.63,BUY
1219,1218.75,1219.25,-0.53,-0.02,0.04,BUY
1214.25,1222.75,1226.75,-0.41,0.7,0.33,BUY
1223.25,1224.5,1213.5,-0.29,0.1,-0.9,SELL
1230.75,1244.25,1246.75,1.4,1.1,0.2,BUY
1253.25,1252.5,1252.5,0.52,-0.06,0,SELL
1244.5,1237.75,1232.25,-0.64,-0.54,-0.44,SELL
1239.75,1228.25,1222.75,0.6,-0.93,-0.44,SELL
1235,1202.25,1222.5,0.99,-2.65,1.64,BUY
1223.25,1222.75,1231,0.06,-0.04,0.67,BUY
1220.75,1224.5,1218,-0.84,0.31,-0.53,SELL
1212.75,1207.5,1223.75,-0.43,-0.43,1.34,BUY
1226.5,1222.25,1211,0.22,-0.35,-0.92,SELL
1199,1187.25,1193.5,-1,-0.98,0.52,BUY
1205.25,1218.25,1222.5,0.97,1.08,0.35,BUY
1214.25,1213.5,1209.5,-0.68,-0.06,-0.33,SELL
1196.25,1199.25,1206.25,-1.11,0.25,0.59,BUY
1202.75,1212.25,1207.5,-0.29,0.79,-0.39,SELL
1196.25,1175.5,1178.25,-0.94,-1.73,0.23,BUY
1178.75,1188,1199.25,0.04,0.78,0.95,BUY
1197.75,1190.25,1184.25,-0.13,-0.63,-0.5,SELL
1193,1204.75,1220.25,0.73,0.98,1.3,BUY
1213.25,1224.75,1224.5,-0.58,0.95,-0.02,SELL
1218.5,1220.75,1221.5,-0.49,0.18,0.06,BUY
1237,1251.25,1251.5,1.25,1.15,0.02,BUY
1258.75,1256.25,1249.5,0.58,-0.2,-0.54,SELL
1248.25,1248.5,1246.75,-0.1,0.02,-0.14,SELL
1237,1245,1247.5,-0.79,0.65,0.2,BUY
1255.25,1274.5,1277.25,0.62,1.53,0.22,BUY
1271.75,1275.75,1284.75,-0.43,0.31,0.71,BUY
1280.5,1270.5,1277,-0.33,-0.78,0.51,BUY
1271.25,1265.25,1264,-0.45,-0.47,-0.1,SELL
1264.75,1259,1254.25,0.06,-0.45,-0.38,SELL
1259.75,1258.25,1254.75,0.44,-0.12,-0.28,SELL
1256.75,1259.75,1255.25,0.16,0.24,-0.36,SELL
1249.25,1241,1259.5,-0.48,-0.66,1.48,BUY
1243.5,1244,1231,-1.29,0.04,-1.05,SELL
1234.75,1226.75,1223.5,0.3,-0.65,-0.26,SELL
1220.25,1200,1205.25,-0.27,-1.66,0.43,BUY
1185.25,1186,1182.75,-1.69,0.06,-0.27,SELL
